aid,ts,type,session
218130,1661017911485,clicks,0
294248,1661017946037,clicks,0
166547,1661017956449,clicks,0
504365,1661017998816,clicks,0
102416,1661019639174,clicks,0
30373,1661103687164,clicks,0
724999,1661103701418,clicks,0
1110548,1661103727767,clicks,0
10268,1661157951797,clicks,0
219925,1661157962188,clicks,0
1140855,1661157993281,clicks,0
915702,1661158034888,clicks,0
480578,1661158090652,clicks,0
1145803,1661158184827,clicks,0
480578,1661158189101,clicks,0
516456,1661158253105,clicks,0
536842,1661158285058,clicks,0
1446430,1661206127572,clicks,0
581169,1661240249947,clicks,0
976007,1661240257635,clicks,0
667322,1661240281936,clicks,0
1801525,1661240292181,clicks,0
1767945,1661240318161,clicks,0
1342014,1661240345599,clicks,0
1813509,1661289160324,clicks,0
1785321,1661289218136,clicks,0
1813509,1661289227315,clicks,0
1840615,1661289238313,clicks,0
1689148,1661289299389,clicks,0
1840615,1661289311093,clicks,0
72748,1661326681916,clicks,0
1049280,1661326752479,clicks,0
1436439,1661326789241,clicks,0
6851,1661326818142,clicks,0
1433235,1661326995238,clicks,0
7563,1661336115924,clicks,0
1766089,1661336145432,clicks,0
7563,1661336153894,clicks,0
570955,1661336161993,clicks,0
1766089,1661336182348,clicks,0
570955,1661336206826,clicks,0
974651,1661336218155,carts,0
974651,1661336222447,clicks,0
974651,1661336225076,carts,0
974651,1661336252514,carts,0
280978,1661336260024,carts,0
1521766,1661336265942,carts,0
661144,1661377452536,clicks,0
1760145,1661377467092,carts,0
1639229,1661377507795,clicks,0
1624436,1661377547329,clicks,0
738987,1661377571633,clicks,0
1436439,1661422036465,clicks,0
102416,1661441640992,clicks,0
190818,1661547489220,clicks,0
1157411,1661547534713,clicks,0
138431,1661547574171,clicks,0
543308,1661547622300,clicks,0
1760145,1661547680429,clicks,0
543308,1661547702839,clicks,0
275288,1661550299698,carts,0
275288,1661550315976,clicks,0
1760145,1661550323287,clicks,0
974651,1661550339661,clicks,0
974651,1661550341792,carts,0
1760145,1661550346913,clicks,0
570955,1661550376132,clicks,0
661144,1661550391128,clicks,0
362233,1661551907312,clicks,0
362233,1661551914311,clicks,0
1760145,1661551920731,clicks,0
275288,1661551929652,clicks,0
974651,1661551935480,clicks,0
543308,1661551961976,clicks,0
624343,1661552027429,clicks,0
543308,1661552069889,clicks,0
723612,1661552073985,clicks,0
543308,1661552079343,clicks,0
543308,1661552090532,carts,0
543308,1661552094001,carts,0
442293,1661552175174,clicks,0
442293,1661552201727,carts,0
442293,1661552224613,clicks,0
442293,1661552237234,clicks,0
171073,1661552249672,clicks,0
851778,1661552276235,clicks,0
976134,1661552295471,clicks,0
856506,1661552321092,clicks,0
1549618,1661552356671,carts,0
419161,1661552370948,clicks,0
543308,1661552394168,clicks,0
1549618,1661552536107,clicks,0
760277,1661552615456,clicks,0
1549618,1661552638423,clicks,0
702179,1661552645018,clicks,0
1549618,1661552648034,clicks,0
1587393,1661552650883,clicks,0
76358,1661552661754,clicks,0
1549618,1661552673593,clicks,0
1199474,1661552684092,clicks,0
1199474,1661552744284,carts,0
1386923,1661552755361,clicks,0
1055124,1661552768406,clicks,0
859697,1661552785728,clicks,0
1055124,1661552791386,clicks,0
1386923,1661552794455,clicks,0
1199474,1661552940651,orders,0
543308,1661552940651,orders,0
961113,1661562901716,clicks,0
883849,1661563120145,clicks,0
701766,1661586370237,clicks,0
924751,1661586382407,clicks,0
168206,1661586401880,clicks,0
924751,1661591004580,clicks,0
219033,1661593840839,clicks,0
171982,1661593852385,clicks,0
1319939,1661607646300,clicks,0
1349536,1661607734014,clicks,0
334392,1661607781173,clicks,0
1349536,1661607810151,clicks,0
1349536,1661634295803,clicks,0
165096,1661634321351,clicks,0
315914,1661634351420,clicks,0
315914,1661634431593,carts,0
1680276,1661634664923,clicks,0
1818905,1661634688122,clicks,0
334392,1661634725193,clicks,0
1048797,1661634830704,clicks,0
1048797,1661673496255,clicks,0
543308,1661682228301,clicks,0
341626,1661684136178,clicks,0
219925,1661684258732,clicks,0
843110,1661684298768,clicks,0
938007,1661684355390,clicks,0
1228848,1661684528943,clicks,0
1740927,1661684942173,clicks,0
161938,1661684983707,clicks,0
424964,1659304800025,carts,1
1492293,1659304852871,clicks,1
1492293,1659304863627,carts,1
910862,1659304891923,clicks,1
910862,1659304900209,carts,1
1491172,1659385939248,clicks,1
1491172,1659385945915,carts,1
424964,1659385993848,clicks,1
1515526,1659386025990,clicks,1
440486,1659473014870,clicks,1
109488,1659473065576,clicks,1
1507622,1659473076244,clicks,1
1734061,1659855882096,clicks,1
854637,1659990929876,clicks,1
854637,1659990941327,carts,1
718983,1659990943793,clicks,1
215311,1659990959575,clicks,1
215311,1659990964841,carts,1
718983,1659990982524,clicks,1
711125,1659991046608,clicks,1
711125,1659991053886,carts,1
50049,1659991115562,clicks,1
105393,1659991156255,clicks,1
105393,1659991168139,carts,1
959544,1659991199405,clicks,1
1734061,1660431511439,clicks,1
1842593,1660857067556,clicks,1
1464360,1661447432716,clicks,1
207905,1661686200666,clicks,1
1628317,1661686382213,clicks,1
376932,1661705869789,clicks,1
497868,1661714854992,clicks,1
763743,1659304800038,clicks,2
137492,1659304866606,clicks,2
504789,1659304915207,clicks,2
137492,1659304958696,clicks,2
795863,1659304994282,clicks,2
378348,1659305021112,clicks,2
795863,1659305036090,clicks,2
26638,1659305052151,clicks,2
817441,1659305078044,clicks,2
1405904,1660521816369,clicks,2
545290,1660521863958,clicks,2
935830,1660522601704,clicks,2
935830,1660577379651,clicks,2
1593105,1661687946158,clicks,2
427698,1661688036394,clicks,2
414004,1661688085306,clicks,2
465360,1661688123811,clicks,2
526287,1661688163688,clicks,2
567119,1661688208181,clicks,2
1577398,1661688278111,clicks,2
161269,1661688306838,carts,2
1577398,1661688311263,clicks,2
78519,1661688427862,clicks,2
1605583,1661713530602,clicks,2
690631,1661713565531,clicks,2
295985,1661713601647,clicks,2
553269,1661713659417,clicks,2
555062,1661713715463,clicks,2
1605711,1661713745791,clicks,2
485582,1661713918745,clicks,2
477910,1661714012521,clicks,2
808782,1661714094293,clicks,2
672473,1661714215659,clicks,2
1425967,1659304800095,carts,3
1425967,1659304821062,clicks,3
1343406,1659389925450,clicks,3
1343406,1659390113576,clicks,3
1343406,1659390122404,carts,3
1425967,1659390138887,clicks,3
1343406,1659390175601,clicks,3
1815570,1659390219860,clicks,3
287008,1659390265108,clicks,3
1343406,1659390387105,clicks,3
1425967,1659390450367,clicks,3
1809571,1659390544006,clicks,3
1089061,1659390603984,clicks,3
746072,1659390640933,clicks,3
1015324,1659390653053,clicks,3
1215662,1659390672561,clicks,3
1089061,1659390679593,clicks,3
1089061,1659390684300,carts,3
1089061,1659390709891,clicks,3
357461,1659390912679,orders,3
1343406,1659390912679,orders,3
1425967,1659390912679,orders,3
1425967,1659390977514,clicks,3
1343406,1659427072361,clicks,3
357461,1659427111386,clicks,3
357461,1659427162677,clicks,3
357461,1659520968328,clicks,3
1343406,1659520998460,clicks,3
1343406,1659521056957,clicks,3
1343406,1659521201554,clicks,3
1105267,1659558223306,clicks,3
1343406,1659560716810,clicks,3
392840,1659609364780,clicks,3
574683,1659609406870,clicks,3
825711,1659730786038,clicks,3
1622133,1659730862726,clicks,3
1065620,1659775853617,clicks,3
713701,1659775909837,clicks,3
1343406,1659806151893,clicks,3
1343406,1659812799866,clicks,3
1632093,1659812900214,clicks,3
1090485,1659812992232,clicks,3
1632093,1659812994246,clicks,3
1305368,1659813048315,clicks,3
968885,1659813091183,clicks,3
2512,1659813109333,clicks,3
1343406,1659817720911,clicks,3
357461,1659817993355,clicks,3
984459,1659818140562,clicks,3
984459,1659818148834,carts,3
984459,1659818170044,clicks,3
622368,1659818176985,clicks,3
578649,1659818233453,clicks,3
1253857,1659818250323,clicks,3
1660613,1659820016892,clicks,3
1660613,1659820027916,carts,3
840023,1659820201006,clicks,3
774320,1659820377063,clicks,3
300295,1659820450541,clicks,3
774320,1659820483401,clicks,3
774320,1659820488386,carts,3
722275,1659820546959,clicks,3
979687,1659820610505,clicks,3
1402624,1659820869097,clicks,3
308831,1659820894693,clicks,3
308831,1659820906351,clicks,3
308831,1659820913190,carts,3
471114,1659820925160,clicks,3
308831,1659820956083,clicks,3
127764,1659821028867,clicks,3
1018433,1659821073942,clicks,3
1018433,1659821096873,carts,3
1018433,1659821104569,clicks,3
714724,1659821118693,clicks,3
714724,1659821136565,carts,3
714724,1659821149537,clicks,3
1018433,1659821158365,clicks,3
714724,1659821170774,clicks,3
1221074,1659821231314,clicks,3
1171628,1659821323789,clicks,3
284722,1659821335788,clicks,3
490305,1659821516455,clicks,3
1436022,1659855672258,clicks,3
1198969,1659855680233,clicks,3
763925,1659855701141,clicks,3
880139,1659855739751,clicks,3
727609,1659855804580,clicks,3
528531,1659856448619,clicks,3
722275,1659856734153,clicks,3
1584672,1659872865028,clicks,3
526790,1659872942670,clicks,3
1554339,1659873087028,clicks,3
1554339,1659873101076,carts,3
711446,1659873326900,clicks,3
128326,1659873397546,clicks,3
128326,1659873404969,carts,3
128326,1659873412467,clicks,3
536803,1659912605718,clicks,3
1348328,1659912692791,clicks,3
74985,1659952447964,clicks,3
642154,1659952465824,clicks,3
705264,1659952520902,clicks,3
87629,1659952695867,clicks,3
1808351,1659952753742,clicks,3
1808351,1659952778170,carts,3
1808351,1659952835180,clicks,3
749898,1659952846161,clicks,3
1772909,1659952873966,clicks,3
905009,1659952943834,clicks,3
284722,1659952993758,clicks,3
54857,1659953071355,clicks,3
54857,1659953092260,carts,3
1528155,1659953126498,clicks,3
1712999,1659953138020,clicks,3
692635,1659953163346,clicks,3
1500975,1659953181577,clicks,3
771063,1659953198307,clicks,3
547781,1659953359516,clicks,3
692635,1659953379703,clicks,3
54857,1659953426094,clicks,3
1002270,1659953475930,clicks,3
254870,1659953508281,clicks,3
1504981,1659953548216,clicks,3
1504981,1659953552937,carts,3
254870,1659953560204,clicks,3
1504981,1659953574243,clicks,3
1377572,1659953597896,clicks,3
1009427,1659953748254,clicks,3
1712999,1659953835909,clicks,3
1712999,1659953856040,carts,3
54857,1659953863287,clicks,3
1712999,1659953881510,clicks,3
1712999,1659953896507,clicks,3
54857,1659967106991,clicks,3
1712999,1659967307587,clicks,3
54857,1659967316037,clicks,3
1712999,1659967320517,clicks,3
54857,1659967333037,clicks,3
1018433,1659967344573,clicks,3
54857,1659987689568,clicks,3
54857,1659988027256,clicks,3
1018433,1659988070691,clicks,3
1143262,1659996585190,clicks,3
836094,1659996615502,clicks,3
1498272,1659996638546,clicks,3
3999,1659996648479,clicks,3
1359109,1659996683459,clicks,3
1119655,1659996746648,clicks,3
708908,1659996783589,clicks,3
588531,1659996860909,clicks,3
116139,1659996879366,clicks,3
116139,1659997077716,carts,3
96976,1659997088367,clicks,3
116139,1659997097018,clicks,3
1498013,1659997119842,clicks,3
332817,1659997132894,clicks,3
332817,1659997147574,carts,3
812246,1659997159265,clicks,3
812246,1659997178730,carts,3
822461,1659997228844,clicks,3
636903,1659997907813,clicks,3
172698,1659997925012,clicks,3
1533194,1659997940735,clicks,3
1802976,1659997990629,clicks,3
360657,1659998013842,clicks,3
1111431,1659998028292,clicks,3
172051,1659998233416,clicks,3
340594,1659998261753,clicks,3
123362,1659998362398,clicks,3
1633901,1659998429086,clicks,3
88711,1659998456613,clicks,3
1325760,1659998514393,clicks,3
1202088,1659998574527,clicks,3
672286,1659998616048,clicks,3
614085,1659998638641,clicks,3
1713400,1659998665818,clicks,3
1748862,1659998713316,clicks,3
108125,1659998736095,clicks,3
1332980,1659998832426,clicks,3
93934,1659998843281,clicks,3
532565,1659998865917,clicks,3
1282243,1659998890980,clicks,3
1708257,1659998901555,clicks,3
37450,1659998934819,clicks,3
33731,1659998963512,clicks,3
546144,1659998988805,clicks,3
1175830,1659999028870,clicks,3
1152906,1659999051677,clicks,3
1754057,1659999106747,clicks,3
1443710,1659999141837,clicks,3
1001000,1659999185157,clicks,3
1124086,1659999267949,clicks,3
1278281,1659999297346,clicks,3
1536010,1659999318796,clicks,3
904809,1659999339456,clicks,3
659496,1659999361798,clicks,3
1799121,1659999603650,clicks,3
693368,1659999640996,clicks,3
1018433,1659999789346,orders,3
54857,1659999789346,orders,3
618373,1660060359803,clicks,3
618373,1660060479871,clicks,3
618373,1660060495040,clicks,3
1018433,1660060664500,clicks,3
54857,1660075710739,clicks,3
54857,1660075780356,clicks,3
282175,1660648816678,clicks,3
1061225,1660680709704,clicks,3
802541,1660825365423,clicks,3
802541,1660825440072,clicks,3
1397226,1660825558253,clicks,3
1397226,1660825606573,clicks,3
1638009,1660825629805,clicks,3
1638009,1660825639624,carts,3
656980,1661019764263,clicks,3
466658,1661019776155,clicks,3
1251514,1661109511903,clicks,3
1261998,1661109541157,clicks,3
1261998,1661109561699,carts,3
1575102,1661109565190,clicks,3
1575102,1661109603578,clicks,3
1261998,1661109604911,clicks,3
1431783,1661109621556,clicks,3
925352,1661109645065,clicks,3
925352,1661109664615,clicks,3
925352,1661109666771,carts,3
613619,1659304800119,clicks,4
298827,1659304836708,clicks,4
298827,1659304900468,orders,4
383828,1661161611985,clicks,4
255379,1661161636464,clicks,4
1838173,1661161670830,clicks,4
1453726,1661161695814,clicks,4
1838173,1661161708717,clicks,4
255379,1661161751223,clicks,4
383828,1661161753524,clicks,4
1554752,1661504170116,clicks,4
1554752,1661504180466,carts,4
917213,1661504212575,clicks,4
917213,1661504216807,carts,4
758750,1661504488403,clicks,4
758750,1661504510200,carts,4
678521,1661586368496,clicks,4
1081407,1661586427249,clicks,4
479396,1661586681303,clicks,4
1098089,1659304800133,clicks,5
1354785,1659304827838,clicks,5
342507,1659304856326,clicks,5
1120175,1659304862271,clicks,5
1808870,1659304863925,clicks,5
1402845,1659304865459,clicks,5
829383,1659304867287,clicks,5
743867,1659305242050,clicks,5
747242,1659365531565,clicks,5
63299,1660347615375,clicks,5
1813405,1660347698897,clicks,5
1813405,1660347708319,carts,5
140361,1660347738186,clicks,5
1813405,1660348737117,clicks,5
1813405,1660348787598,clicks,5
137164,1659304800134,clicks,6
956148,1659304804344,clicks,6
1310382,1659304807882,clicks,6
705239,1659304820548,clicks,6
1438169,1659304902283,clicks,6
515494,1659304920337,clicks,6
1438169,1659304925106,clicks,6
303479,1659304928473,clicks,6
1310382,1659305017235,clicks,6
1665718,1659305054134,clicks,6
1310382,1659305262743,clicks,6
1665718,1659305266321,clicks,6
1310382,1659305274393,clicks,6
1665718,1659305281774,clicks,6
303479,1659305290928,clicks,6
1329892,1659305439004,clicks,6
303479,1659305619620,clicks,6
1329892,1659305636456,clicks,6
303479,1659305664275,clicks,6
1423569,1659305677503,clicks,6
303479,1659305699020,clicks,6
247477,1659305728459,clicks,6
303479,1659305740575,clicks,6
247477,1659305747816,clicks,6
137164,1659305952994,clicks,6
1329892,1659306056017,clicks,6
1761894,1659306119602,clicks,6
1665718,1659306162673,clicks,6
107068,1659306177326,clicks,6
1329892,1659306217923,clicks,6
247477,1659306312740,clicks,6
626201,1659306348701,clicks,6
1665718,1659348258762,clicks,6
1180941,1659348347673,clicks,6
735948,1659348556853,clicks,6
204620,1659348649906,clicks,6
1180941,1659348665336,clicks,6
231883,1659348674792,clicks,6
1320470,1659348779976,clicks,6
1336841,1659348853912,clicks,6
454252,1659348931642,clicks,6
1479126,1659349743928,clicks,6
512321,1659349772258,clicks,6
1479126,1659349785934,clicks,6
752071,1659349844996,clicks,6
1479126,1659349944388,clicks,6
737946,1659349960302,clicks,6
1479126,1659349999849,clicks,6
454252,1659350002917,clicks,6
1691705,1659350017966,clicks,6
1784957,1659350051764,clicks,6
1691705,1659350106777,clicks,6
454252,1659350126693,clicks,6
1778316,1659350131424,clicks,6
1320470,1659350136405,clicks,6
1329892,1659350250837,clicks,6
335888,1659350315680,clicks,6
858923,1659350495550,clicks,6
626201,1659350504274,clicks,6
247477,1659350526102,clicks,6
114443,1659350653980,clicks,6
899186,1659350700594,clicks,6
114443,1659350957045,clicks,6
107068,1659351087697,clicks,6
383548,1659351315259,clicks,6
168492,1659351404676,clicks,6
383548,1659351505374,clicks,6
107068,1659351517314,clicks,6
1329892,1659351564380,clicks,6
705239,1659352414558,clicks,6
181386,1659352506384,clicks,6
795411,1659352521983,clicks,6
1770854,1659352622995,clicks,6
1747070,1659352643781,clicks,6
1770854,1659352658561,clicks,6
795411,1659352704298,clicks,6
181386,1659352763402,clicks,6
732552,1659352844243,clicks,6
181386,1659352943339,clicks,6
705239,1659352946555,clicks,6
1329892,1659352950488,clicks,6
1329892,1659386504694,clicks,6
1665718,1659386535894,clicks,6
820745,1659386878054,clicks,6
1584889,1659386948744,clicks,6
820745,1659386963814,clicks,6
121471,1659387000137,clicks,6
318999,1659387097288,clicks,6
1443924,1659387142110,clicks,6
1779132,1659387226518,clicks,6
496585,1659387232016,clicks,6
914867,1659387267620,clicks,6
1029566,1659387660595,clicks,6
360462,1659387708858,clicks,6
1029566,1659387745435,clicks,6
60590,1659387748527,clicks,6
335888,1659391439218,clicks,6
1826259,1659391470495,clicks,6
1762811,1659391525912,clicks,6
1826259,1659391563072,clicks,6
60590,1659391566476,clicks,6
1029566,1659391605999,clicks,6
360462,1659391619542,clicks,6
698403,1659391695900,clicks,6
360462,1659391714153,clicks,6
500819,1659392738231,clicks,6
1611750,1659392768744,clicks,6
84804,1659392784450,clicks,6
1329892,1659643885897,clicks,6
360462,1659643959353,clicks,6
60590,1659643987252,clicks,6
360462,1659644028904,clicks,6
60590,1659644138737,clicks,6
1386412,1659644222912,clicks,6
60590,1659644289523,clicks,6
360462,1659644296600,clicks,6
360462,1659972665043,clicks,6
360462,1659972671319,clicks,6
60590,1659972731033,clicks,6
360462,1659972819690,clicks,6
538900,1659972836551,clicks,6
360462,1659972858295,clicks,6
626201,1659972903155,clicks,6
1329892,1659972911707,clicks,6
303479,1659972943438,clicks,6
247477,1659972979653,clicks,6
303479,1659973009563,clicks,6
107068,1659973015325,clicks,6
303479,1659973034621,clicks,6
515494,1659973078344,clicks,6
303479,1659973088894,clicks,6
107068,1659973110554,clicks,6
1329892,1659973172265,clicks,6
515494,1659973213009,clicks,6
626201,1659973217379,clicks,6
247477,1659973223596,clicks,6
626201,1659973328458,clicks,6
1329892,1659973506428,clicks,6
107068,1659974146615,clicks,6
1329892,1659995520399,clicks,6
1834442,1659995547533,clicks,6
1329892,1659995554734,clicks,6
787398,1659995601857,clicks,6
657194,1659995664986,clicks,6
969717,1659995728403,clicks,6
352310,1659995749022,clicks,6
870131,1659995792488,clicks,6
352310,1659995857954,clicks,6
1585659,1659995935446,clicks,6
732552,1659996002994,clicks,6
1585659,1659996015120,clicks,6
1692150,1659996081932,clicks,6
795411,1659996164079,clicks,6
1585659,1659996241838,clicks,6
352310,1659996245991,clicks,6
969717,1659996259812,clicks,6
657194,1659996268700,clicks,6
787398,1659996277772,clicks,6
1329892,1659996369661,clicks,6
165011,1659996554485,clicks,6
179011,1659996590569,clicks,6
1329892,1659996712947,clicks,6
1329892,1660557318867,clicks,6
1329892,1660557325935,clicks,6
515494,1660557362182,clicks,6
1329892,1660557380470,clicks,6
1329892,1660776418199,clicks,6
1852696,1660776563803,clicks,6
107068,1660776706728,clicks,6
180817,1660776798299,clicks,6
107068,1660776852635,clicks,6
1329892,1660776877937,clicks,6
1852696,1660830418041,clicks,6
1329892,1660941769642,clicks,6
1852696,1661179809456,clicks,6
1329892,1661458429745,clicks,6
107068,1661458459728,clicks,6
1329892,1661458638905,clicks,6
107068,1661458778867,clicks,6
84804,1661458791031,clicks,6
1608648,1661458818182,clicks,6
500819,1661458849405,clicks,6
578301,1661458968369,clicks,6
1659218,1661459027114,clicks,6
578301,1661459048308,clicks,6
1365927,1661459056821,clicks,6
596483,1661459074779,clicks,6
1365927,1661459111579,clicks,6
578301,1661459112848,clicks,6
448320,1661459167021,clicks,6
1488151,1661459280639,clicks,6
773417,1661459320273,clicks,6
584794,1661460366675,clicks,6
640547,1661460460943,clicks,6
584794,1661460517126,clicks,6
773417,1661460524710,clicks,6
584794,1661460974711,clicks,6
773417,1661460976951,clicks,6
1378866,1661549309780,clicks,6
1292948,1661549357751,clicks,6
1378866,1661549371614,clicks,6
773417,1661549462237,clicks,6
1832326,1661549479114,clicks,6
1378866,1661549531757,clicks,6
87774,1659304800134,clicks,7
1241611,1659304819330,clicks,7
477883,1659304825898,clicks,7
1209125,1659304838268,clicks,7
1727444,1659304887700,clicks,7
43696,1659304901268,clicks,7
872428,1659304928033,clicks,7
511826,1659304973327,clicks,7
74176,1659305160605,clicks,7
74176,1659305169456,clicks,7
872428,1659306134893,clicks,7
1763738,1659306143884,clicks,7
1351733,1659306155578,clicks,7
872428,1659306175812,clicks,7
777919,1659306201130,clicks,7
511826,1659306860076,clicks,7
602191,1659820323062,clicks,7
1314898,1659820332555,clicks,7
555948,1660201692615,clicks,7
129869,1660222001774,clicks,7
129869,1660222041409,clicks,7
95488,1660408151286,clicks,7
1064510,1660538518319,clicks,7
1814223,1659304800136,clicks,8
324620,1659304815389,clicks,8
1320098,1659304827550,clicks,8
324620,1659304839975,clicks,8
847707,1659304800144,clicks,9
847707,1659304857552,carts,9
1078113,1659304889167,clicks,9
502913,1659304898154,clicks,9
502913,1659304936085,clicks,9
1369253,1659381879887,clicks,9
641969,1659648132568,clicks,9
271630,1659304800151,clicks,10
967918,1660941383175,clicks,10
218627,1660941816696,clicks,10
766870,1660987307792,clicks,10
1071033,1661633415563,clicks,10
226954,1661633426190,clicks,10
1110510,1659304800172,clicks,11
1110510,1659387704253,clicks,11
1178708,1659387750269,clicks,11
1343545,1659387869941,clicks,11
1343545,1659388012520,clicks,11
1455746,1659464100323,clicks,11
384751,1659464109429,clicks,11
249474,1659464114869,clicks,11
881719,1659464338449,clicks,11
1800223,1659464345951,clicks,11
59142,1659464350969,clicks,11
266595,1659464438507,clicks,11
309710,1659464440559,clicks,11
506353,1659464493593,clicks,11
1699214,1659464510110,clicks,11
1739092,1659464588853,clicks,11
1158853,1659464741937,clicks,11
217784,1659464757692,clicks,11
643667,1659464767262,clicks,11
1398344,1659464805162,clicks,11
1237227,1659464810678,clicks,11
85380,1659464826771,clicks,11
121376,1659464829329,clicks,11
420325,1659464845889,clicks,11
1746569,1659464892601,clicks,11
643667,1659549373205,clicks,11
1635310,1659549441574,clicks,11
1765193,1659559492362,clicks,11
74702,1659559498129,clicks,11
61954,1659559505118,clicks,11
314773,1659559555656,clicks,11
74702,1659559562270,clicks,11
987969,1659559570246,clicks,11
1391373,1659559572711,clicks,11
359244,1659559578849,clicks,11
987969,1659607711818,clicks,11
987969,1659607793898,carts,11
987969,1659607933700,orders,11
987969,1659616881976,clicks,11
987969,1659640545367,clicks,11
1769915,1659651666386,clicks,11
1826669,1659651703456,clicks,11
1769915,1659651726784,clicks,11
697336,1659651760389,clicks,11
552956,1659651792446,clicks,11
1769915,1659651811449,clicks,11
329538,1659652225844,clicks,11
721353,1659652407538,clicks,11
773577,1659652451998,clicks,11
1455544,1659675340353,clicks,11
987969,1659700115108,clicks,11
309710,1659721776207,clicks,11
1663783,1659721910269,clicks,11
1796549,1659721932065,clicks,11
251221,1659722004401,clicks,11
1110548,1659901731590,clicks,11
1145803,1659901833217,clicks,11
1145803,1659901858089,clicks,11
1145803,1659901876053,carts,11
87567,1659901934430,clicks,11
1145803,1659902211471,clicks,11
1154812,1659902261249,clicks,11
1110548,1659902305330,clicks,11
1110548,1659902318172,clicks,11
